Sl No.,Time,FES102_pH,AL_VSP1_GCB1B_SCB_102-pH - (pH) Raw,SCRUBBER_SCB_103_GCB1C-pH - (pH) Raw,SCB_301-pH - (pH) Raw,SCB_302-pH - (pH) Raw,SCB_303-pH - (pH) Raw,LL_VSP1_OCB_SCB_304-pH - (pH) Raw,LL_VSP1_GCB2_SCB_501-pH - (pH) Raw,LL_VSP1_GCB3_SCB_502-pH - (pH) Raw,LL_VSP1_GCB4_SCB_601-pH - (pH) Raw,SCB_604-pH - (pH) Raw,SCB_605-pH - (pH) Raw,SCB_606-pH - (pH) Raw,LL_VSP1_GCB7_SCB_901-pH - (pH) Raw,LL_VSP1_RM_SCB_105-pH - (pH) Raw,LL_VSP1_EHS_SCB_106-pH - (pH) Raw,LL_VSP1_EHS_SCB_107-pH - (pH) Raw,Ammonia_Scrubber-pH - (pH) Raw,LL_VSP1_RM_SCB_104-pH - (pH) Raw,FES_101_RM-pH - (pH) Raw,Ambient_VOC,AQMS2_VOC,Year,Month,Day,Date,Ambient_VOC_Rolling,Ambient_VOC_Change,AQMS2_VOC_Rolling,AQMS2_VOC_Change,Average_pH
1,2026-01-01,9.5,12.0,14.0,11.13,8.15,12.34,0.95,1.5,1.41,,,,,11.28,13.02,6.9,9.02,9.8,12.45,,0.0,0.45,2026,1,1,2026-01-01,0.0,,0.45,,8.896666666666667
2,2026-01-02,9.5,12.0,14.0,11.2,8.15,11.76,0.95,1.53,1.4,,,,,11.29,13.09,6.9,8.96,9.8,12.57,,0.0,0.45,2026,1,2,2026-01-02,0.0,0.0,0.45,0.0,8.873333333333333
3,2026-01-03,9.5,12.09,14.0,11.15,8.15,11.27,0.95,1.53,1.4,,,,,11.3,13.05,6.9,8.47,9.8,12.58,,0.0,0.47,2026,1,3,2026-01-03,0.0,0.0,0.4566666666666667,0.019999999999999962,8.809333333333333
4,2026-01-04,9.5,12.04,13.91,11.1,8.12,12.52,0.95,1.53,1.41,,,,,11.29,12.84,6.9,8.87,9.8,12.57,,0.0,0.51,2026,1,4,2026-01-04,0.0,0.0,0.47,0.040000000000000036,8.889999999999999
5,2026-01-05,9.5,12.14,14.0,11.12,8.08,11.94,0.95,1.53,1.4,,,,,11.3,12.8,6.9,8.88,9.8,12.56,,0.0,0.41,2026,1,5,2026-01-05,0.0,0.0,0.458,-0.10000000000000003,8.859999999999998
6,2026-01-06,9.5,12.14,14.0,11.12,8.08,11.94,0.95,1.53,1.4,,,,,11.3,12.8,6.9,8.88,9.8,12.56,,0.0,0.41,2026,1,6,2026-01-06,0.0,0.0,0.45,0.0,8.859999999999998
7,2026-01-07,9.5,12.14,14.0,11.12,8.08,11.94,0.95,1.53,1.4,,,,,11.3,12.8,6.9,8.88,9.8,12.56,,0.0,0.52,2026,1,7,2026-01-07,0.0,0.0,0.45999999999999996,0.11000000000000004,8.859999999999998
8,2026-01-08,9.5,12.14,14.0,11.12,8.08,11.94,0.95,1.53,1.4,,,,,11.3,12.8,6.9,8.88,9.8,12.56,,0.0,0.54,2026,1,8,2026-01-08,0.0,0.0,0.4728571428571428,0.020000000000000018,8.859999999999998
9,2026-01-09,9.5,11.8,13.84,11.18,7.83,12.89,0.95,1.53,1.38,,,,,11.29,12.61,6.9,9.15,9.8,12.48,,0.0,0.48,2026,1,9,2026-01-09,0.0,0.0,0.47714285714285715,-0.06000000000000005,8.875333333333334
10,2026-01-10,9.5,11.82,13.82,11.2,7.84,12.85,0.95,1.53,1.37,,,,,11.31,12.59,6.9,9.17,9.8,12.52,,0.0,0.53,2026,1,10,2026-01-10,0.0,0.0,0.4857142857142857,0.050000000000000044,8.878000000000002
11,2026-01-11,9.5,12.08,13.99,11.18,7.83,12.54,0.95,1.53,1.37,,,,,11.31,12.52,6.9,9.17,9.8,12.5,,0.0,0.51,2026,1,11,2026-01-11,0.0,0.0,0.48571428571428577,-0.020000000000000018,8.878000000000002
12,2026-01-12,9.5,11.9,9.94,11.2,7.77,11.17,5.23,2.93,5.77,,,,,11.3,12.46,6.9,9.17,9.8,12.49,,0.0,0.52,2026,1,12,2026-01-12,0.0,0.0,0.5014285714285714,0.010000000000000009,9.168666666666667
13,2026-01-13,9.5,11.9,5.6,11.19,8.27,7.76,9.5,7.3,13.69,,,,,11.31,12.45,6.9,9.17,9.8,12.52,,0.0,0.54,2026,1,13,2026-01-13,0.0,0.0,0.5199999999999999,0.020000000000000018,9.790666666666668
14,2026-01-14,9.5,11.95,5.6,11.22,8.34,12.47,9.5,7.3,13.63,,,,,11.31,12.4,6.9,9.11,9.8,12.54,,0.0,0.57,2026,1,14,2026-01-14,0.0,0.0,0.5271428571428572,0.029999999999999916,10.104666666666668
15,2026-01-15,9.5,12.12,5.6,11.18,8.62,11.84,9.5,7.3,13.7,,,,,11.32,12.34,6.9,9.0,9.8,12.57,,0.0,0.51,2026,1,15,2026-01-15,0.0,0.0,0.5228571428571429,-0.05999999999999994,10.086
16,2026-01-16,9.5,12.6,5.6,11.01,8.69,12.82,9.5,7.3,13.8,,,,,11.31,12.36,6.89,9.13,9.8,12.47,,0.0,0.49,2026,1,16,2026-01-16,0.0,0.0,0.5242857142857142,-0.020000000000000018,10.185333333333334
17,2026-01-17,9.5,12.2,5.6,11.17,8.36,11.5,9.5,7.3,13.65,,,,,11.32,12.3,6.9,9.06,9.8,12.59,,0.0,0.54,2026,1,17,2026-01-17,0.0,0.0,0.5257142857142857,0.050000000000000044,10.05
18,2026-01-18,9.5,12.13,5.6,11.17,8.35,11.54,9.5,7.3,13.73,,,,,11.32,12.27,6.9,9.07,9.8,12.52,,0.0,0.46,2026,1,18,2026-01-18,0.0,0.0,0.5185714285714286,-0.08000000000000002,10.046666666666669
19,2026-01-19,9.5,12.0,5.52,11.14,7.99,11.62,9.5,7.3,13.7,,,,,11.31,12.29,6.89,9.06,9.8,12.43,,0.0,0.34,2026,1,19,2026-01-19,0.0,0.0,0.4928571428571429,-0.12,10.003333333333334
20,2026-01-20,9.5,11.9,5.5,11.23,9.01,11.39,9.5,7.3,13.64,,10.94,11.25,4.86,11.33,12.29,6.89,8.86,9.8,12.54,,0.0,0.53,2026,1,20,2026-01-20,0.0,0.0,0.4914285714285715,0.19,9.873888888888889
21,2026-01-21,9.5,11.94,5.48,11.2,8.52,11.05,9.5,7.3,13.77,,11.16,10.81,5.93,11.32,12.21,6.89,9.06,9.8,12.49,,0.0,0.44,2026,1,21,2026-01-21,0.0,0.0,0.47285714285714286,-0.09000000000000002,9.885
22,2026-01-22,9.5,12.1,5.46,11.25,8.81,10.84,9.5,7.3,13.69,,10.93,11.15,11.14,11.32,12.18,6.89,8.9,9.8,11.78,,0.0,0.46,2026,1,22,2026-01-22,0.0,0.0,0.46571428571428575,0.020000000000000018,10.141111111111112
23,2026-01-23,9.5,12.1,5.48,11.27,8.53,11.24,9.5,7.3,13.62,,11.17,11.33,7.97,11.33,12.14,6.89,8.83,9.8,10.81,,0.0,0.36,2026,1,23,2026-01-23,0.0,0.0,0.4471428571428571,-0.10000000000000003,9.933888888888891
24,2026-01-24,9.5,12.1,5.48,11.24,8.38,11.44,9.5,7.3,13.7,,11.25,11.01,5.76,11.32,12.08,6.9,8.87,9.8,10.93,,0.0,0.37,2026,1,24,2026-01-24,0.0,0.0,0.4228571428571429,0.010000000000000009,9.808888888888891
25,2026-01-25,9.5,12.1,5.48,11.24,8.38,11.44,9.5,7.3,13.7,,11.25,11.01,5.76,11.32,12.08,6.9,8.87,9.8,10.93,,0.0,0.54,2026,1,25,2026-01-25,0.0,0.0,0.4342857142857143,0.17000000000000004,9.808888888888891
26,2026-01-26,9.5,12.1,5.48,11.24,8.38,11.44,9.5,7.3,13.7,,11.25,11.01,5.76,11.32,12.08,6.9,8.87,9.8,10.93,,0.0,0.41,2026,1,26,2026-01-26,0.0,0.0,0.44428571428571434,-0.13000000000000006,9.808888888888891
27,2026-01-27,9.5,12.1,5.48,11.24,8.38,11.44,9.5,7.3,13.7,,11.25,11.01,5.76,11.32,12.08,6.9,8.87,9.8,10.93,,0.0,0.42,2026,1,27,2026-01-27,0.0,0.0,0.42857142857142855,0.010000000000000009,9.808888888888891
28,2026-01-28,9.5,12.1,5.48,11.24,8.38,11.44,9.5,7.3,13.7,,11.25,11.01,5.76,11.32,12.08,6.9,8.87,9.8,10.93,,0.0,0.42,2026,1,28,2026-01-28,0.0,0.0,0.4257142857142857,0.0,9.808888888888891
29,2026-01-29,9.5,12.1,5.48,11.27,7.43,12.76,9.5,7.3,13.6,,11.18,10.97,11.67,11.33,11.99,6.89,9.02,9.8,10.96,,0.0,0.42,2026,1,29,2026-01-29,0.0,0.0,0.42,0.0,10.15277777777778
30,2026-01-30,9.5,13.4,5.46,11.19,7.46,11.87,9.5,7.3,13.61,,11.05,11.07,11.75,11.33,11.96,6.89,9.05,9.8,10.96,,0.0,0.42,2026,1,30,2026-01-30,0.0,0.0,0.42857142857142855,0.0,10.175000000000002
31,2026-01-31,9.5,13.9,5.48,11.23,7.43,12.14,9.5,7.3,13.59,,11.02,11.01,12.15,11.34,13.34,6.89,8.98,9.8,10.96,,0.0,0.42,2026,1,31,2026-01-31,0.0,0.0,0.43571428571428567,0.0,10.30888888888889
32,2026-02-01,9.5,13.6,5.48,11.26,7.44,11.63,9.5,7.3,13.58,,10.95,11.1,12.44,11.35,13.34,6.89,9.05,9.8,10.95,,0.0,0.42,2026,2,1,2026-02-01,0.0,0.0,0.41857142857142854,0.0,10.286666666666669
33,2026-02-02,9.5,13.48,5.45,11.31,7.48,9.91,9.5,7.3,13.6,,11.16,10.99,12.46,11.35,13.34,6.89,9.05,9.8,10.96,,0.0,0.45,2026,2,2,2026-02-02,0.0,0.0,0.42428571428571427,0.030000000000000027,10.196111111111113
34,2026-02-03,9.5,13.34,5.46,11.35,7.9,11.58,9.5,7.3,13.62,,10.97,11.17,12.43,11.35,13.34,6.89,9.14,9.8,10.97,,0.0,0.23,2026,2,3,2026-02-03,0.0,0.0,0.39714285714285713,-0.22,10.311666666666666
35,2026-02-04,9.5,12.75,5.46,11.52,8.15,11.16,9.5,7.3,13.65,,11.2,10.94,12.38,11.35,13.34,6.89,9.16,9.8,10.97,,0.0,0.25,2026,2,4,2026-02-04,0.0,0.0,0.37285714285714283,0.01999999999999999,10.27888888888889
36,2026-02-05,9.5,12.77,5.46,11.79,8.36,11.12,9.5,7.3,13.69,,11.03,11.14,12.29,11.35,13.33,6.89,9.22,9.8,10.97,,0.0,0.2,2026,2,5,2026-02-05,0.0,0.0,0.34142857142857147,-0.04999999999999999,10.306111111111111
37,2026-02-06,9.5,12.86,5.46,12.09,8.1,11.26,9.5,7.3,13.7,,11.1,11.1,11.96,11.35,12.45,6.89,9.26,9.8,10.94,,0.0,0.24,2026,2,6,2026-02-06,0.0,0.0,0.3157142857142857,0.03999999999999998,10.256666666666668
38,2026-02-07,9.5,12.98,5.24,11.86,7.7,12.28,9.5,7.3,13.67,,11.15,11.37,9.17,11.35,12.17,6.89,9.27,9.8,10.98,,0.0,0.2,2026,2,7,2026-02-07,0.0,0.0,0.2842857142857143,-0.03999999999999998,10.121111111111112
39,2026-02-08,9.5,12.94,5.45,11.89,7.78,12.17,9.5,7.3,13.66,,11.17,11.1,12.38,11.35,11.99,6.89,9.27,9.8,10.98,,0.0,0.27,2026,2,8,2026-02-08,0.0,0.0,0.26285714285714284,0.07,10.284444444444444
40,2026-02-09,9.5,12.92,5.45,12.01,7.87,11.53,9.5,7.3,13.64,,11.14,10.99,12.2,11.36,11.86,6.89,9.27,9.8,10.98,,0.0,0.28,2026,2,9,2026-02-09,0.0,0.0,0.23857142857142857,0.010000000000000009,10.23388888888889
41,2026-02-10,9.5,13.17,5.43,12.02,7.64,12.05,9.5,7.3,13.59,,11.04,10.86,12.28,11.36,11.77,6.89,9.24,9.8,10.98,,0.0,0.27,2026,2,10,2026-02-10,0.0,0.0,0.24428571428571427,-0.010000000000000009,10.245555555555555
42,2026-02-11,9.5,13.2,5.23,12.06,7.3,12.13,9.5,7.3,13.57,,11.09,11.15,12.53,11.37,11.68,6.89,9.2,9.8,10.98,,0.0,0.14,2026,2,11,2026-02-11,0.0,0.0,0.2285714285714286,-0.13,10.248888888888889
43,2026-02-12,9.5,12.65,5.22,12.13,6.64,12.16,9.5,7.3,13.56,,10.94,11.0,12.27,11.4,11.6,6.89,9.22,9.8,10.95,,0.0,0.26,2026,2,12,2026-02-12,0.0,0.0,0.23714285714285716,0.12,10.151666666666666
44,2026-02-13,9.5,12.39,5.19,12.17,6.08,12.39,9.5,7.3,13.56,,11.29,11.13,11.58,11.38,11.52,6.89,9.26,9.8,10.99,,0.0,0.29,2026,2,13,2026-02-13,0.0,0.0,0.2442857142857143,0.02999999999999997,10.106666666666667
45,2026-02-14,9.5,12.6,5.18,11.9,6.93,12.0,9.5,7.3,13.54,,11.11,10.99,11.84,11.38,11.44,6.89,9.19,9.8,10.89,,0.0,0.17,2026,2,14,2026-02-14,0.0,0.0,0.24000000000000002,-0.11999999999999997,10.110000000000001
