,Sl No.,Time,FES102_pH,AL_VSP1_GCB1B_SCB_102-pH - (pH) Raw,SCRUBBER_SCB_103_GCB1C-pH - (pH) Raw,SCB_301-pH - (pH) Raw,SCB_302-pH - (pH) Raw,SCB_303-pH - (pH) Raw,LL_VSP1_OCB_SCB_304-pH - (pH) Raw,LL_VSP1_GCB2_SCB_501-pH - (pH) Raw,LL_VSP1_GCB3_SCB_502-pH - (pH) Raw,LL_VSP1_GCB4_SCB_601-pH - (pH) Raw,SCB_604-pH - (pH) Raw,SCB_605-pH - (pH) Raw,SCB_606-pH - (pH) Raw,LL_VSP1_GCB7_SCB_901-pH - (pH) Raw,LL_VSP1_RM_SCB_105-pH - (pH) Raw,LL_VSP1_EHS_SCB_106-pH - (pH) Raw,LL_VSP1_EHS_SCB_107-pH - (pH) Raw,Ammonia_Scrubber-pH - (pH) Raw,LL_VSP1_RM_SCB_104-pH - (pH) Raw,FES_101_RM-pH - (pH) Raw,Ambient_VOC,AQMS2_VOC,Year,Month,Day,Date,Ambient_VOC_Rolling,Ambient_VOC_Change,AQMS2_VOC_Rolling,AQMS2_VOC_Change,Average_pH
count,181.0,181,181.0,181.0,181.0,181.0,181.0,181.0,181.0,181.0,181.0,125.0,162.0,162.0,162.0,181.0,181.0,181.0,181.0,181.0,181.0,36.0,181.0,181.0,181.0,181.0,181.0,181,181.0,180.0,181.0,180.0,181.0
unique,,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,,2026-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,91.0,,9.5,8.64160220994475,8.426906077348066,11.071160220994475,7.636795580110497,11.122596685082874,8.962983425414366,9.98171270718232,10.621436464088399,8.773519999999996,7.975432098765432,10.231234567901234,11.759012345679013,11.484917127071826,11.25756906077348,8.361546961325965,9.087403314917127,9.799999999999997,11.34270718232044,8.991111111111113,0.0,0.32077348066298345,2026.0,3.5082872928176796,15.602209944751381,2026-04-01 00:00:00,0.0,0.0,0.3221489081820573,0.00011111111111111152,9.78935032793771
min,1.0,,9.5,0.95,1.43,9.96,6.08,7.33,0.95,1.5,1.37,7.7,7.2,7.67,4.86,11.28,10.54,0.91,0.17,9.8,10.35,1.36,0.0,0.0,2026.0,1.0,1.0,2026-01-01 00:00:00,0.0,0.0,0.16142857142857145,-1.6999999999999997,8.809333333333333
25%,46.0,,9.5,7.35,8.81,10.69,7.12,10.77,9.5,7.3,9.69,8.23,7.21,9.850000000000001,11.0175,11.38,10.71,6.89,9.0,9.8,10.83,9.6175,0.0,0.24,2026.0,2.0,8.0,2026-02-15 00:00:00,0.0,0.0,0.24714285714285714,-0.032500000000000015,9.708000000000002
50%,91.0,,9.5,7.43,8.81,11.0,7.7,11.09,9.51,11.11,9.69,8.25,7.21,10.885,12.285,11.44,10.84,9.07,9.23,9.8,10.86,9.645,0.0,0.29,2026.0,4.0,16.0,2026-04-01 00:00:00,0.0,0.0,0.29,0.009999999999999967,9.82421052631579
75%,136.0,,9.5,11.8,8.82,11.35,8.08,11.54,9.51,13.1,13.54,8.28,7.21,11.1675,12.75,11.66,11.6,10.11,9.67,9.8,11.99,9.725000000000001,0.0,0.37,2026.0,5.0,23.0,2026-05-16 00:00:00,0.0,0.0,0.3742857142857143,0.03999999999999998,9.987894736842106
max,181.0,,9.5,13.9,14.0,12.6,9.01,12.89,9.51,13.89,13.8,14.0,11.29,11.54,13.39,11.7,13.49,10.64,9.76,9.8,12.79,9.8,0.0,2.01,2026.0,6.0,31.0,2026-06-30 00:00:00,0.0,0.0,0.5771428571428572,1.5999999999999999,10.361578947368422
std,52.39433811650517,,0.0,2.312100338267635,2.0386494268446382,0.48730013768376623,0.5596841442400252,0.8246490147599194,2.0685120644644224,3.441945000093837,3.01858652216134,1.6578538672516618,1.5483764684040402,1.2192976113865894,1.5789052775968022,0.13483577988934198,0.8155350336052071,1.8826417120200905,1.241653645475373,3.5625686593929905e-15,0.7010871457983545,1.941149553048808,0.0,0.1636543055873023,0.0,1.7147036819824866,8.759553234428651,,0.0,0.0,0.09947174064357922,0.19683242706710508,0.3455845599606697
