,Sl No.,Time,FES102_pH,AL_VSP1_GCB1B_SCB_102-pH - (pH) Raw,SCRUBBER_SCB_103_GCB1C-pH - (pH) Raw,SCB_301-pH - (pH) Raw,SCB_302-pH - (pH) Raw,SCB_303-pH - (pH) Raw,LL_VSP1_OCB_SCB_304-pH - (pH) Raw,LL_VSP1_GCB2_SCB_501-pH - (pH) Raw,LL_VSP1_GCB3_SCB_502-pH - (pH) Raw,LL_VSP1_GCB4_SCB_601-pH - (pH) Raw,SCB_604-pH - (pH) Raw,SCB_605-pH - (pH) Raw,SCB_606-pH - (pH) Raw,LL_VSP1_GCB5_SCB_701-pH - (pH) Raw,LL_VSP1_GCB7_SCB_901-pH - (pH) Raw,LL_VSP1_RM_SCB_105-pH - (pH) Raw,LL_VSP1_EHS_SCB_106-pH - (pH) Raw,LL_VSP1_EHS_SCB_107-pH - (pH) Raw,Ammonia_Scrubber-pH - (pH) Raw,LL_VSP1_RM_SCB_104-pH - (pH) Raw,FES_101_RM-pH - (pH) Raw,GCB_6_Scrubber-pH - (pH) Raw,Ambient_VOC,AQMS2_VOC,Year,Month,Day,Date,Ambient_VOC_Rolling,Ambient_VOC_Change,AQMS2_VOC_Rolling,AQMS2_VOC_Change,Average_pH
count,192,192,192,192,192,192,192,192,192,192,192,136,173,173,173,3,192,192,192,192,192,192,47,3,192,192,192,192,192,192,192,191,192,191,192
unique,,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,,30-06-2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,96.5,,9.302083333,8.4046875,8.226041667,10.85682292,7.481510417,10.88401042,8.743125,9.891927083,10.38651042,8.572352941,7.845606936,9.998381503,11.46849711,0,11.24932292,11.02557292,8.2921875,8.945677083,9.595833333,11.12916667,8.131702128,0,2.317291667,2.679479167,2026,3.651041667,16.42708333,06-04-2026 03:45,0.718690476,0.491727749,1.065165675,0.500942408,9.593829073
min,1,,0,0.95,1.43,0.5,0.55,0.84,0.95,1.5,1.37,2.66,1.49,1.23,1.28,0,0.13,1,0.91,0.17,0,0.7,1.36,0,0,0,2026,1,1,01-01-2026 00:00,0,-87.08,0.161428571,-84.87,1.304090909
25%,48.75,,9.5,7.35,8.81,10.6775,7.0675,10.76,9.5,7.3,9.69,8.2275,7.21,9.44,11,0,11.3775,10.7,6.89,8.99,9.8,10.83,8.895,0,0,0.24,2026,2,8.75,17-02-2026 18:00,0,0,0.25,-0.035,9.674342105
50%,96.5,,9.5,7.43,8.81,10.95,7.645,11.08,9.51,11.1,9.69,8.25,7.21,10.51,12.28,0,11.44,10.805,9.075,9.23,9.8,10.85,9.64,0,0,0.29,2026,4,16.5,06-04-2026 12:00,0,0,0.294285714,0,9.818157895
75%,144.25,,9.5,9.01,8.82,11.35,8.08,11.54,9.51,13.0575,13.54,8.28,7.21,11.16,12.75,0,11.66,11.4575,10.12,9.67,9.8,12.0025,9.73,0,0,0.3925,2026,5,24.25,24-05-2026 06:00,0,0,0.420714286,0.04,9.976447368
max,192,,9.5,13.9,14,12.6,9.01,12.89,9.51,13.89,13.8,14,11.29,11.54,13.39,0,11.7,13.49,10.64,9.76,9.8,12.79,9.8,0,181,181,2026,6,31,30-06-2026 00:00,63.56,170,64.55857143,173.83,10.7225
std,55.56977596,,1.360395628,2.544286671,2.298112123,1.598863081,1.172251742,1.727133345,2.392688169,3.46873786,3.288979187,1.903991999,1.829460877,1.827616549,2.3242023,0,1.631765838,1.66957614,2.066789606,1.611931481,1.40335549,1.682260799,3.003233995,0,19.06875916,19.27093321,0,1.762939881,9.141407766,,6.073202907,13.87116345,6.137890268,14.0364788,1.289021919
