Sl No.,Time,FES102_pH,AL_VSP1_GCB1B_SCB_102-pH - (pH) Raw,SCRUBBER_SCB_103_GCB1C-pH - (pH) Raw,SCB_301-pH - (pH) Raw,SCB_302-pH - (pH) Raw,SCB_303-pH - (pH) Raw,LL_VSP1_OCB_SCB_304-pH - (pH) Raw,LL_VSP1_GCB2_SCB_501-pH - (pH) Raw,LL_VSP1_GCB3_SCB_502-pH - (pH) Raw,LL_VSP1_GCB4_SCB_601-pH - (pH) Raw,SCB_604-pH - (pH) Raw,SCB_605-pH - (pH) Raw,SCB_606-pH - (pH) Raw,LL_VSP1_GCB7_SCB_901-pH - (pH) Raw,LL_VSP1_RM_SCB_105-pH - (pH) Raw,LL_VSP1_EHS_SCB_106-pH - (pH) Raw,LL_VSP1_EHS_SCB_107-pH - (pH) Raw,Ammonia_Scrubber-pH - (pH) Raw,LL_VSP1_RM_SCB_104-pH - (pH) Raw,FES_101_RM-pH - (pH) Raw,Ambient_VOC,AQMS2_VOC,Year,Month,Day
1,01-01-2026,9.5,12,14,11.13,8.15,12.34,0.95,1.5,1.41,,,,,11.28,13.02,6.9,9.02,9.8,12.45,,0,0.45,2026,1,1
2,02-01-2026,9.5,12,14,11.2,8.15,11.76,0.95,1.53,1.4,,,,,11.29,13.09,6.9,8.96,9.8,12.57,,0,0.45,2026,1,2
3,03-01-2026,9.5,12.09,14,11.15,8.15,11.27,0.95,1.53,1.4,,,,,11.3,13.05,6.9,8.47,9.8,12.58,,0,0.47,2026,1,3
4,04-01-2026,9.5,12.04,13.91,11.1,8.12,12.52,0.95,1.53,1.41,,,,,11.29,12.84,6.9,8.87,9.8,12.57,,0,0.51,2026,1,4
5,05-01-2026,9.5,12.14,14,11.12,8.08,11.94,0.95,1.53,1.4,,,,,11.3,12.8,6.9,8.88,9.8,12.56,,0,0.41,2026,1,5
6,06-01-2026,9.5,12.14,14,11.12,8.08,11.94,0.95,1.53,1.4,,,,,11.3,12.8,6.9,8.88,9.8,12.56,,0,0.41,2026,1,6
7,07-01-2026,9.5,12.14,14,11.12,8.08,11.94,0.95,1.53,1.4,,,,,11.3,12.8,6.9,8.88,9.8,12.56,,0,0.52,2026,1,7
8,08-01-2026,9.5,12.14,14,11.12,8.08,11.94,0.95,1.53,1.4,,,,,11.3,12.8,6.9,8.88,9.8,12.56,,0,0.54,2026,1,8
9,09-01-2026,9.5,11.8,13.84,11.18,7.83,12.89,0.95,1.53,1.38,,,,,11.29,12.61,6.9,9.15,9.8,12.48,,0,0.48,2026,1,9
10,10-01-2026,9.5,11.82,13.82,11.2,7.84,12.85,0.95,1.53,1.37,,,,,11.31,12.59,6.9,9.17,9.8,12.52,,0,0.53,2026,1,10
11,11-01-2026,9.5,12.08,13.99,11.18,7.83,12.54,0.95,1.53,1.37,,,,,11.31,12.52,6.9,9.17,9.8,12.5,,0,0.51,2026,1,11
12,12-01-2026,9.5,11.9,9.94,11.2,7.77,11.17,5.23,2.93,5.77,,,,,11.3,12.46,6.9,9.17,9.8,12.49,,0,0.52,2026,1,12
13,13-01-2026,9.5,11.9,5.6,11.19,8.27,7.76,9.5,7.3,13.69,,,,,11.31,12.45,6.9,9.17,9.8,12.52,,0,0.54,2026,1,13
14,14-01-2026,9.5,11.95,5.6,11.22,8.34,12.47,9.5,7.3,13.63,,,,,11.31,12.4,6.9,9.11,9.8,12.54,,0,0.57,2026,1,14
15,15-01-2026,9.5,12.12,5.6,11.18,8.62,11.84,9.5,7.3,13.7,,,,,11.32,12.34,6.9,9,9.8,12.57,,0,0.51,2026,1,15
16,16-01-2026,9.5,12.6,5.6,11.01,8.69,12.82,9.5,7.3,13.8,,,,,11.31,12.36,6.89,9.13,9.8,12.47,,0,0.49,2026,1,16
17,17-01-2026,9.5,12.2,5.6,11.17,8.36,11.5,9.5,7.3,13.65,,,,,11.32,12.3,6.9,9.06,9.8,12.59,,0,0.54,2026,1,17
18,18-01-2026,9.5,12.13,5.6,11.17,8.35,11.54,9.5,7.3,13.73,,,,,11.32,12.27,6.9,9.07,9.8,12.52,,0,0.46,2026,1,18
19,19-01-2026,9.5,12,5.52,11.14,7.99,11.62,9.5,7.3,13.7,,,,,11.31,12.29,6.89,9.06,9.8,12.43,,0,0.34,2026,1,19
20,20-01-2026,9.5,11.9,5.5,11.23,9.01,11.39,9.5,7.3,13.64,,10.94,11.25,4.86,11.33,12.29,6.89,8.86,9.8,12.54,,0,0.53,2026,1,20
21,21-01-2026,9.5,11.94,5.48,11.2,8.52,11.05,9.5,7.3,13.77,,11.16,10.81,5.93,11.32,12.21,6.89,9.06,9.8,12.49,,0,0.44,2026,1,21
22,22-01-2026,9.5,12.1,5.46,11.25,8.81,10.84,9.5,7.3,13.69,,10.93,11.15,11.14,11.32,12.18,6.89,8.9,9.8,11.78,,0,0.46,2026,1,22
23,23-01-2026,9.5,12.1,5.48,11.27,8.53,11.24,9.5,7.3,13.62,,11.17,11.33,7.97,11.33,12.14,6.89,8.83,9.8,10.81,,0,0.36,2026,1,23
24,24-01-2026,9.5,12.1,5.48,11.24,8.38,11.44,9.5,7.3,13.7,,11.25,11.01,5.76,11.32,12.08,6.9,8.87,9.8,10.93,,0,0.37,2026,1,24
25,25-01-2026,9.5,12.1,5.48,11.24,8.38,11.44,9.5,7.3,13.7,,11.25,11.01,5.76,11.32,12.08,6.9,8.87,9.8,10.93,,0,0.54,2026,1,25
26,26-01-2026,9.5,12.1,5.48,11.24,8.38,11.44,9.5,7.3,13.7,,11.25,11.01,5.76,11.32,12.08,6.9,8.87,9.8,10.93,,0,0.41,2026,1,26
27,27-01-2026,9.5,12.1,5.48,11.24,8.38,11.44,9.5,7.3,13.7,,11.25,11.01,5.76,11.32,12.08,6.9,8.87,9.8,10.93,,0,0.42,2026,1,27
28,28-01-2026,9.5,12.1,5.48,11.24,8.38,11.44,9.5,7.3,13.7,,11.25,11.01,5.76,11.32,12.08,6.9,8.87,9.8,10.93,,0,0.42,2026,1,28
29,29-01-2026,9.5,12.1,5.48,11.27,7.43,12.76,9.5,7.3,13.6,,11.18,10.97,11.67,11.33,11.99,6.89,9.02,9.8,10.96,,0,0.42,2026,1,29
30,30-01-2026,9.5,13.4,5.46,11.19,7.46,11.87,9.5,7.3,13.61,,11.05,11.07,11.75,11.33,11.96,6.89,9.05,9.8,10.96,,0,0.42,2026,1,30
31,31-01-2026,9.5,13.9,5.48,11.23,7.43,12.14,9.5,7.3,13.59,,11.02,11.01,12.15,11.34,13.34,6.89,8.98,9.8,10.96,,0,0.42,2026,1,31
32,01-02-2026,9.5,13.6,5.48,11.26,7.44,11.63,9.5,7.3,13.58,,10.95,11.1,12.44,11.35,13.34,6.89,9.05,9.8,10.95,,0,0.42,2026,2,1
33,02-02-2026,9.5,13.48,5.45,11.31,7.48,9.91,9.5,7.3,13.6,,11.16,10.99,12.46,11.35,13.34,6.89,9.05,9.8,10.96,,0,0.45,2026,2,2
34,03-02-2026,9.5,13.34,5.46,11.35,7.9,11.58,9.5,7.3,13.62,,10.97,11.17,12.43,11.35,13.34,6.89,9.14,9.8,10.97,,0,0.23,2026,2,3
35,04-02-2026,9.5,12.75,5.46,11.52,8.15,11.16,9.5,7.3,13.65,,11.2,10.94,12.38,11.35,13.34,6.89,9.16,9.8,10.97,,0,0.25,2026,2,4
36,05-02-2026,9.5,12.77,5.46,11.79,8.36,11.12,9.5,7.3,13.69,,11.03,11.14,12.29,11.35,13.33,6.89,9.22,9.8,10.97,,0,0.2,2026,2,5
37,06-02-2026,9.5,12.86,5.46,12.09,8.1,11.26,9.5,7.3,13.7,,11.1,11.1,11.96,11.35,12.45,6.89,9.26,9.8,10.94,,0,0.24,2026,2,6
38,07-02-2026,9.5,12.98,5.24,11.86,7.7,12.28,9.5,7.3,13.67,,11.15,11.37,9.17,11.35,12.17,6.89,9.27,9.8,10.98,,0,0.2,2026,2,7
39,08-02-2026,9.5,12.94,5.45,11.89,7.78,12.17,9.5,7.3,13.66,,11.17,11.1,12.38,11.35,11.99,6.89,9.27,9.8,10.98,,0,0.27,2026,2,8
40,09-02-2026,9.5,12.92,5.45,12.01,7.87,11.53,9.5,7.3,13.64,,11.14,10.99,12.2,11.36,11.86,6.89,9.27,9.8,10.98,,0,0.28,2026,2,9
41,10-02-2026,9.5,13.17,5.43,12.02,7.64,12.05,9.5,7.3,13.59,,11.04,10.86,12.28,11.36,11.77,6.89,9.24,9.8,10.98,,0,0.27,2026,2,10
42,11-02-2026,9.5,13.2,5.23,12.06,7.3,12.13,9.5,7.3,13.57,,11.09,11.15,12.53,11.37,11.68,6.89,9.2,9.8,10.98,,0,0.14,2026,2,11
43,12-02-2026,9.5,12.65,5.22,12.13,6.64,12.16,9.5,7.3,13.56,,10.94,11,12.27,11.4,11.6,6.89,9.22,9.8,10.95,,0,0.26,2026,2,12
44,13-02-2026,9.5,12.39,5.19,12.17,6.08,12.39,9.5,7.3,13.56,,11.29,11.13,11.58,11.38,11.52,6.89,9.26,9.8,10.99,,0,0.29,2026,2,13
45,14-02-2026,9.5,12.6,5.18,11.9,6.93,12,9.5,7.3,13.54,,11.11,10.99,11.84,11.38,11.44,6.89,9.19,9.8,10.89,,0,0.17,2026,2,14
46,15-02-2026,9.5,12.6,5.18,11.96,6.94,11.77,9.5,7.3,13.55,,11.12,11.01,12.43,11.38,11.37,6.89,9.17,9.8,10.8,,0,0.29,2026,2,15
47,16-02-2026,9.5,3.23,1.43,11.89,6.69,11.28,9.5,7.3,13.57,,11.24,11.19,12.28,11.38,11.51,6.89,9.1,9.8,10.8,,0,0.19,2026,2,16
48,17-02-2026,9.5,0.95,2.33,11.95,6.46,11.2,9.5,7.3,13.54,,11.13,11.26,11.74,11.38,11.38,6.89,9.09,9.8,10.8,,0,0.19,2026,2,17
49,18-02-2026,9.5,9.01,8.98,11.98,6.9,11.89,9.5,7.3,13.53,,11.15,11.18,12.45,11.39,13.44,6.89,9.12,9.8,10.8,,0,0.22,2026,2,18
50,19-02-2026,9.5,9.01,8.98,12.08,7.3,12.1,9.5,7.3,13.53,,11.1,11.21,12.36,11.41,11.38,6.89,9.17,9.8,10.8,,0,0.25,2026,2,19
51,20-02-2026,9.5,9.01,8.98,12.11,7.51,12.24,9.5,7.3,13.58,,9.68,10.96,12.19,11.4,11.07,6.89,9.22,9.8,10.8,,0,0.25,2026,2,20
