Timestamp,pH_Value,Scrubber_ID,Quality_Flag
2026-01-01,9.8,AMMONIA-SCRUBBER,Good
2026-01-02,9.8,AMMONIA-SCRUBBER,Good
2026-01-03,9.8,AMMONIA-SCRUBBER,Good
2026-01-04,9.8,AMMONIA-SCRUBBER,Good
2026-01-05,9.8,AMMONIA-SCRUBBER,Good
2026-01-06,9.8,AMMONIA-SCRUBBER,Interpolated
2026-01-07,9.8,AMMONIA-SCRUBBER,Interpolated
2026-01-08,9.8,AMMONIA-SCRUBBER,Interpolated
2026-01-09,9.8,AMMONIA-SCRUBBER,Good
2026-01-10,9.8,AMMONIA-SCRUBBER,Good
2026-01-11,9.8,AMMONIA-SCRUBBER,Good
2026-01-12,9.8,AMMONIA-SCRUBBER,Good
2026-01-13,9.8,AMMONIA-SCRUBBER,Good
2026-01-14,9.8,AMMONIA-SCRUBBER,Good
2026-01-15,9.8,AMMONIA-SCRUBBER,Good
2026-01-16,9.8,AMMONIA-SCRUBBER,Good
2026-01-17,9.8,AMMONIA-SCRUBBER,Good
2026-01-18,9.8,AMMONIA-SCRUBBER,Good
2026-01-19,9.8,AMMONIA-SCRUBBER,Good
2026-01-20,9.8,AMMONIA-SCRUBBER,Good
2026-01-21,9.8,AMMONIA-SCRUBBER,Good
2026-01-22,9.8,AMMONIA-SCRUBBER,Good
2026-01-23,9.8,AMMONIA-SCRUBBER,Good
2026-01-24,9.8,AMMONIA-SCRUBBER,Good
2026-01-25,9.8,AMMONIA-SCRUBBER,Interpolated
2026-01-26,9.8,AMMONIA-SCRUBBER,Interpolated
2026-01-27,9.8,AMMONIA-SCRUBBER,Interpolated
2026-01-28,,AMMONIA-SCRUBBER,Offline
2026-01-29,9.8,AMMONIA-SCRUBBER,Good
2026-01-30,9.8,AMMONIA-SCRUBBER,Good
2026-01-31,9.8,AMMONIA-SCRUBBER,Good
2026-02-01,9.8,AMMONIA-SCRUBBER,Good
2026-02-02,9.8,AMMONIA-SCRUBBER,Good
2026-02-03,9.8,AMMONIA-SCRUBBER,Good
2026-02-04,9.8,AMMONIA-SCRUBBER,Good
2026-02-05,9.8,AMMONIA-SCRUBBER,Good
2026-02-06,9.8,AMMONIA-SCRUBBER,Good
2026-02-07,9.8,AMMONIA-SCRUBBER,Good
2026-02-08,9.8,AMMONIA-SCRUBBER,Good
2026-02-09,9.8,AMMONIA-SCRUBBER,Good
2026-02-10,9.8,AMMONIA-SCRUBBER,Good
2026-02-11,9.8,AMMONIA-SCRUBBER,Good
2026-02-12,9.8,AMMONIA-SCRUBBER,Good
2026-02-13,9.8,AMMONIA-SCRUBBER,Good
2026-02-14,9.8,AMMONIA-SCRUBBER,Good
2026-02-15,9.8,AMMONIA-SCRUBBER,Good
2026-02-16,9.8,AMMONIA-SCRUBBER,Good
2026-02-17,9.8,AMMONIA-SCRUBBER,Good
2026-02-18,9.8,AMMONIA-SCRUBBER,Interpolated
2026-02-19,9.8,AMMONIA-SCRUBBER,Interpolated
2026-02-20,9.8,AMMONIA-SCRUBBER,Interpolated
2026-02-21,,AMMONIA-SCRUBBER,Offline
2026-02-22,,AMMONIA-SCRUBBER,Offline
2026-02-23,,AMMONIA-SCRUBBER,Offline
2026-02-24,,AMMONIA-SCRUBBER,Offline
2026-02-25,,AMMONIA-SCRUBBER,Offline
2026-02-26,,AMMONIA-SCRUBBER,Offline
2026-02-27,,AMMONIA-SCRUBBER,Offline
2026-02-28,,AMMONIA-SCRUBBER,Offline
2026-03-01,,AMMONIA-SCRUBBER,Offline
2026-03-02,,AMMONIA-SCRUBBER,Offline
2026-03-03,,AMMONIA-SCRUBBER,Offline
2026-03-04,,AMMONIA-SCRUBBER,Offline
2026-03-05,,AMMONIA-SCRUBBER,Offline
2026-03-06,,AMMONIA-SCRUBBER,Offline
2026-03-07,,AMMONIA-SCRUBBER,Offline
2026-03-08,,AMMONIA-SCRUBBER,Offline
2026-03-09,,AMMONIA-SCRUBBER,Offline
2026-03-10,,AMMONIA-SCRUBBER,Offline
2026-03-11,,AMMONIA-SCRUBBER,Offline
2026-03-12,,AMMONIA-SCRUBBER,Offline
2026-03-13,,AMMONIA-SCRUBBER,Offline
2026-03-14,,AMMONIA-SCRUBBER,Offline
2026-03-15,,AMMONIA-SCRUBBER,Offline
2026-03-16,,AMMONIA-SCRUBBER,Offline
2026-03-17,,AMMONIA-SCRUBBER,Offline
2026-03-18,,AMMONIA-SCRUBBER,Offline
2026-03-19,,AMMONIA-SCRUBBER,Offline
2026-03-20,,AMMONIA-SCRUBBER,Offline
2026-03-21,,AMMONIA-SCRUBBER,Offline
2026-03-22,,AMMONIA-SCRUBBER,Offline
2026-03-23,,AMMONIA-SCRUBBER,Offline
2026-03-24,,AMMONIA-SCRUBBER,Offline
2026-03-25,,AMMONIA-SCRUBBER,Offline
2026-03-26,,AMMONIA-SCRUBBER,Offline
2026-03-27,,AMMONIA-SCRUBBER,Offline
2026-03-28,,AMMONIA-SCRUBBER,Offline
2026-03-29,,AMMONIA-SCRUBBER,Offline
2026-03-30,,AMMONIA-SCRUBBER,Offline
2026-03-31,,AMMONIA-SCRUBBER,Offline
