Sl No.,Time,FES102_pH,AL_VSP1_GCB1B_SCB_102-pH - (pH) Raw,SCRUBBER_SCB_103_GCB1C-pH - (pH) Raw,SCB_301-pH - (pH) Raw,SCB_302-pH - (pH) Raw,SCB_303-pH - (pH) Raw,LL_VSP1_OCB_SCB_304-pH - (pH) Raw,LL_VSP1_GCB2_SCB_501-pH - (pH) Raw,LL_VSP1_GCB3_SCB_502-pH - (pH) Raw,LL_VSP1_GCB4_SCB_601-pH - (pH) Raw,SCB_604-pH - (pH) Raw,SCB_605-pH - (pH) Raw,SCB_606-pH - (pH) Raw,LL_VSP1_GCB7_SCB_901-pH - (pH) Raw,LL_VSP1_RM_SCB_105-pH - (pH) Raw,LL_VSP1_EHS_SCB_106-pH - (pH) Raw,LL_VSP1_EHS_SCB_107-pH - (pH) Raw,Ammonia_Scrubber-pH - (pH) Raw,LL_VSP1_RM_SCB_104-pH - (pH) Raw,FES_101_RM-pH - (pH) Raw,Ambient_VOC,AQMS2_VOC,Year,Month,Day,Date,Average_pH,Max_pH,Min_pH,pH_Range,pH_Change,Primary_VOC,VOC_Change,VOC_Rolling_7,VOC_STD_7,pH_Rolling_7,VOC_Rate,Stability_Index,Day_Name,Month_Name,pH_Status,VOC_Status
1,2026-01-01,9.5,12.0,14.0,11.13,8.15,12.34,0.95,1.5,1.41,,,,,11.28,13.02,6.9,9.02,9.8,12.45,,0.0,0.45,2026,1,1,2026-01-01,8.896666666666667,14.0,0.95,13.05,,0.45,,0.45,0.0,8.896666666666667,0.0,100.0,Thursday,January,Low,Low
2,2026-01-02,9.5,12.0,14.0,11.2,8.15,11.76,0.95,1.53,1.4,,,,,11.29,13.09,6.9,8.96,9.8,12.57,,0.0,0.45,2026,1,2,2026-01-02,8.873333333333333,14.0,0.95,13.05,-0.023333333333333428,0.45,0.0,0.45,0.0,8.885,0.0,99.76666666666667,Friday,January,Low,Low
3,2026-01-03,9.5,12.09,14.0,11.15,8.15,11.27,0.95,1.53,1.4,,,,,11.3,13.05,6.9,8.47,9.8,12.58,,0.0,0.47,2026,1,3,2026-01-03,8.809333333333333,14.0,0.95,13.05,-0.06400000000000006,0.47,0.019999999999999962,0.4566666666666667,0.011547005383792493,8.859777777777778,4.444444444444429,99.36,Saturday,January,Low,Low
4,2026-01-04,9.5,12.04,13.91,11.1,8.12,12.52,0.95,1.53,1.41,,,,,11.29,12.84,6.9,8.87,9.8,12.57,,0.0,0.51,2026,1,4,2026-01-04,8.889999999999999,13.91,0.95,12.96,0.08066666666666578,0.51,0.040000000000000036,0.47,0.02828427124746191,8.867333333333333,8.510638297872353,99.19333333333334,Sunday,January,Low,Low
5,2026-01-05,9.5,12.14,14.0,11.12,8.08,11.94,0.95,1.53,1.4,,,,,11.3,12.8,6.9,8.88,9.8,12.56,,0.0,0.41,2026,1,5,2026-01-05,8.859999999999998,14.0,0.95,13.05,-0.030000000000001137,0.41,-0.10000000000000003,0.458,0.0363318042491699,8.865866666666665,-19.60784313725491,99.69999999999999,Monday,January,Low,Low
6,2026-01-06,9.5,12.14,14.0,11.12,8.08,11.94,0.95,1.53,1.4,,,,,11.3,12.8,6.9,8.88,9.8,12.56,,0.0,0.41,2026,1,6,2026-01-06,8.859999999999998,14.0,0.95,13.05,0.0,0.41,0.0,0.45,0.037947331922020544,8.864888888888887,0.0,100.0,Tuesday,January,Low,Low
7,2026-01-07,9.5,12.14,14.0,11.12,8.08,11.94,0.95,1.53,1.4,,,,,11.3,12.8,6.9,8.88,9.8,12.56,,0.0,0.52,2026,1,7,2026-01-07,8.859999999999998,14.0,0.95,13.05,0.0,0.52,0.11000000000000004,0.45999999999999996,0.04358898943540675,8.864190476190474,26.82926829268293,100.0,Wednesday,January,Low,Low
8,2026-01-08,9.5,12.14,14.0,11.12,8.08,11.94,0.95,1.53,1.4,,,,,11.3,12.8,6.9,8.88,9.8,12.56,,0.0,0.54,2026,1,8,2026-01-08,8.859999999999998,14.0,0.95,13.05,0.0,0.54,0.020000000000000018,0.4728571428571428,0.05250850271282605,8.85895238095238,3.8461538461538547,100.0,Thursday,January,Low,Low
9,2026-01-09,9.5,11.8,13.84,11.18,7.83,12.89,0.95,1.53,1.38,,,,,11.29,12.61,6.9,9.15,9.8,12.48,,0.0,0.48,2026,1,9,2026-01-09,8.875333333333334,13.84,0.95,12.89,0.015333333333336086,0.48,-0.06000000000000005,0.47714285714285715,0.05154748157905351,8.859238095238094,-11.111111111111116,99.84666666666664,Friday,January,Low,Low
10,2026-01-10,9.5,11.82,13.82,11.2,7.84,12.85,0.95,1.53,1.37,,,,,11.31,12.59,6.9,9.17,9.8,12.52,,0.0,0.53,2026,1,10,2026-01-10,8.878000000000002,13.82,0.95,12.870000000000001,0.0026666666666681493,0.53,0.050000000000000044,0.4857142857142857,0.05503245795502354,8.869047619047619,10.416666666666675,99.97333333333331,Saturday,January,Low,Low
11,2026-01-11,9.5,12.08,13.99,11.18,7.83,12.54,0.95,1.53,1.37,,,,,11.31,12.52,6.9,9.17,9.8,12.5,,0.0,0.51,2026,1,11,2026-01-11,8.878000000000002,13.99,0.95,13.040000000000001,0.0,0.51,-0.020000000000000018,0.48571428571428577,0.05503245795502354,8.867333333333333,-3.7735849056603765,100.0,Sunday,January,Low,Low
12,2026-01-12,9.5,11.9,9.94,11.2,7.77,11.17,5.23,2.93,5.77,,,,,11.3,12.46,6.9,9.17,9.8,12.49,,0.0,0.52,2026,1,12,2026-01-12,9.168666666666667,12.49,2.93,9.56,0.29066666666666485,0.52,0.010000000000000009,0.5014285714285714,0.044507891221135014,8.911428571428571,1.9607843137254832,97.09333333333335,Monday,January,Low,Low
13,2026-01-13,9.5,11.9,5.6,11.19,8.27,7.76,9.5,7.3,13.69,,,,,11.31,12.45,6.9,9.17,9.8,12.52,,0.0,0.54,2026,1,13,2026-01-13,9.790666666666668,13.69,5.6,8.09,0.6220000000000017,0.54,0.020000000000000018,0.5199999999999999,0.02081665999466143,9.044380952380951,3.8461538461538547,93.77999999999999,Tuesday,January,Normal,Low
14,2026-01-14,9.5,11.95,5.6,11.22,8.34,12.47,9.5,7.3,13.63,,,,,11.31,12.4,6.9,9.11,9.8,12.54,,0.0,0.57,2026,1,14,2026-01-14,10.104666666666668,13.63,5.6,8.030000000000001,0.31400000000000006,0.57,0.029999999999999916,0.5271428571428572,0.028115408417381988,9.222190476190477,5.555555555555536,96.86,Wednesday,January,Normal,Low
