Sl No.,Time,FES102_pH,AL_VSP1_GCB1B_SCB_102-pH - (pH) Raw,SCRUBBER_SCB_103_GCB1C-pH - (pH) Raw,SCB_301-pH - (pH) Raw,SCB_302-pH - (pH) Raw,SCB_303-pH - (pH) Raw,LL_VSP1_OCB_SCB_304-pH - (pH) Raw,LL_VSP1_GCB2_SCB_501-pH - (pH) Raw,LL_VSP1_GCB3_SCB_502-pH - (pH) Raw,LL_VSP1_GCB4_SCB_601-pH - (pH) Raw,SCB_604-pH - (pH) Raw,SCB_605-pH - (pH) Raw,SCB_606-pH - (pH) Raw,LL_VSP1_GCB7_SCB_901-pH - (pH) Raw,LL_VSP1_RM_SCB_105-pH - (pH) Raw,LL_VSP1_EHS_SCB_106-pH - (pH) Raw,LL_VSP1_EHS_SCB_107-pH - (pH) Raw,Ammonia_Scrubber-pH - (pH) Raw,LL_VSP1_RM_SCB_104-pH - (pH) Raw,FES_101_RM-pH - (pH) Raw,Ambient_VOC,AQMS2_VOC,Year,Month,Day,Date,Average_pH,Max_pH,Min_pH,pH_Range,pH_Change,Primary_VOC,VOC_Change,VOC_Rolling_7,VOC_STD_7,pH_Rolling_7,VOC_Rate,Stability_Index,Day_Name,Month_Name,pH_Status,VOC_Status,ML_Anomaly_Score,ML_Is_Anomaly,ML_Primary_Driver,ML_Anomaly_Explanation
1,2026-01-01,9.5,12.0,14.0,11.13,8.15,12.34,0.95,1.5,1.41,,,,,11.28,13.02,6.9,9.02,9.8,12.45,,0.0,0.45,2026,1,1,2026-01-01,8.896666666666667,14.0,0.95,13.05,,0.45,,0.45,0.0,8.896666666666667,0.0,100.0,Thursday,January,Low,Low,0.416,1,pH_Rolling_7,Operational values within normal multidimensional clusters.
2,2026-01-02,9.5,12.0,14.0,11.2,8.15,11.76,0.95,1.53,1.4,,,,,11.29,13.09,6.9,8.96,9.8,12.57,,0.0,0.45,2026,1,2,2026-01-02,8.873333333333333,14.0,0.95,13.05,-0.0233333333333334,0.45,0.0,0.45,0.0,8.885,0.0,99.76666666666668,Friday,January,Low,Low,0.396,1,pH_Rolling_7,Operational values within normal multidimensional clusters.
3,2026-01-03,9.5,12.09,14.0,11.15,8.15,11.27,0.95,1.53,1.4,,,,,11.3,13.05,6.9,8.47,9.8,12.58,,0.0,0.47,2026,1,3,2026-01-03,8.809333333333333,14.0,0.95,13.05,-0.064,0.47,0.0199999999999999,0.4566666666666667,0.0115470053837924,8.859777777777778,4.444444444444429,99.36,Saturday,January,Low,Low,0.457,1,pH_Rolling_7,Operational values within normal multidimensional clusters.
4,2026-01-04,9.5,12.04,13.91,11.1,8.12,12.52,0.95,1.53,1.41,,,,,11.29,12.84,6.9,8.87,9.8,12.57,,0.0,0.51,2026,1,4,2026-01-04,8.889999999999999,13.91,0.95,12.96,0.0806666666666657,0.51,0.04,0.47,0.0282842712474619,8.867333333333333,8.510638297872353,99.19333333333334,Sunday,January,Low,Low,0.467,1,pH_Rolling_7,Operational values within normal multidimensional clusters.
5,2026-01-05,9.5,12.14,14.0,11.12,8.08,11.94,0.95,1.53,1.4,,,,,11.3,12.8,6.9,8.88,9.8,12.56,,0.0,0.41,2026,1,5,2026-01-05,8.859999999999998,14.0,0.95,13.05,-0.0300000000000011,0.41,-0.1,0.458,0.0363318042491699,8.865866666666665,-19.60784313725491,99.7,Monday,January,Low,Low,0.477,1,pH_Rolling_7,Operational values within normal multidimensional clusters.
6,2026-01-06,9.5,12.14,14.0,11.12,8.08,11.94,0.95,1.53,1.4,,,,,11.3,12.8,6.9,8.88,9.8,12.56,,0.0,0.41,2026,1,6,2026-01-06,8.859999999999998,14.0,0.95,13.05,0.0,0.41,0.0,0.45,0.0379473319220205,8.864888888888887,0.0,100.0,Tuesday,January,Low,Low,0.37,1,pH_Rolling_7,Operational values within normal multidimensional clusters.
7,2026-01-07,9.5,12.14,14.0,11.12,8.08,11.94,0.95,1.53,1.4,,,,,11.3,12.8,6.9,8.88,9.8,12.56,,0.0,0.52,2026,1,7,2026-01-07,8.859999999999998,14.0,0.95,13.05,0.0,0.52,0.11,0.4599999999999999,0.0435889894354067,8.864190476190474,26.82926829268293,100.0,Wednesday,January,Low,Low,0.472,1,pH_Rolling_7,Operational values within normal multidimensional clusters.
8,2026-01-08,9.5,12.14,14.0,11.12,8.08,11.94,0.95,1.53,1.4,,,,,11.3,12.8,6.9,8.88,9.8,12.56,,0.0,0.54,2026,1,8,2026-01-08,8.859999999999998,14.0,0.95,13.05,0.0,0.54,0.02,0.4728571428571428,0.052508502712826,8.85895238095238,3.846153846153855,100.0,Thursday,January,Low,Low,0.407,1,pH_Rolling_7,Operational values within normal multidimensional clusters.
9,2026-01-09,9.5,11.8,13.84,11.18,7.83,12.89,0.95,1.53,1.38,,,,,11.29,12.61,6.9,9.15,9.8,12.48,,0.0,0.48,2026,1,9,2026-01-09,8.875333333333334,13.84,0.95,12.89,0.015333333333336,0.48,-0.06,0.4771428571428571,0.0515474815790535,8.859238095238094,-11.111111111111116,99.84666666666664,Friday,January,Low,Low,0.454,1,pH_Rolling_7,Operational values within normal multidimensional clusters.
10,2026-01-10,9.5,11.82,13.82,11.2,7.84,12.85,0.95,1.53,1.37,,,,,11.31,12.59,6.9,9.17,9.8,12.52,,0.0,0.53,2026,1,10,2026-01-10,8.878000000000002,13.82,0.95,12.87,0.0026666666666681,0.53,0.05,0.4857142857142857,0.0550324579550235,8.869047619047619,10.416666666666677,99.97333333333331,Saturday,January,Low,Low,0.438,1,pH_Rolling_7,Operational values within normal multidimensional clusters.
